id,category_id_a,category_id_b,relation_score,ontology_relation
363,59,100,0.55,sibling_of
364,59,101,0.55,sibling_of
365,59,111,0.55,sibling_of
366,60,1,0.85,is_a
367,60,62,0.55,sibling_of
368,60,71,0.55,sibling_of
369,60,79,0.55,sibling_of
370,60,80,0.55,sibling_of
371,60,92,0.55,sibling_of
372,60,94,0.55,sibling_of
373,60,100,0.55,sibling_of
374,60,101,0.55,sibling_of
375,60,111,0.55,sibling_of
376,61,42,0.85,is_a
377,61,68,0.55,sibling_of
378,61,75,0.55,sibling_of
379,61,87,0.55,sibling_of
380,61,90,0.55,sibling_of
381,61,102,0.55,sibling_of
382,61,113,0.55,sibling_of
383,62,1,0.85,is_a
384,62,71,-0.7,opposite_of
385,62,71,0.55,sibling_of
386,62,79,0.55,sibling_of
387,62,80,0.55,sibling_of
388,62,92,0.55,sibling_of
389,62,94,0.55,sibling_of
390,62,100,0.55,sibling_of
391,62,101,0.55,sibling_of
392,62,111,0.55,sibling_of
393,63,65,0.55,sibling_of
394,63,74,0.55,sibling_of
395,63,76,0.55,sibling_of
396,63,77,0.55,sibling_of
397,63,83,0.55,sibling_of
398,63,91,0.85,is_a
399,63,105,0.55,sibling_of
400,63,108,0.55,sibling_of
401,63,115,0.55,sibling_of
402,64,2,0.85,is_a
403,64,112,0.55,sibling_of
404,65,74,0.55,sibling_of
405,65,76,0.55,sibling_of
406,65,77,0.55,sibling_of
407,65,83,0.55,sibling_of
408,65,91,0.85,is_a
409,65,105,0.55,sibling_of
410,65,108,0.55,sibling_of
411,65,115,0.55,sibling_of
412,66,86,0.85,is_a
413,66,95,0.55,sibling_of
414,67,88,0.55,sibling_of
415,67,92,0.85,is_a
416,68,42,0.85,is_a
417,68,75,0.55,sibling_of
418,68,87,0.55,sibling_of
419,68,90,0.55,sibling_of
420,68,102,0.55,sibling_of
421,68,113,0.55,sibling_of
422,69,106,0.55,sibling_of
423,69,109,0.85,is_a
424,70,33,0.85,is_a
425,71,1,0.85,is_a
426,71,79,0.55,sibling_of
427,71,80,0.55,sibling_of
428,71,92,0.55,sibling_of
429,71,94,0.55,sibling_of
430,71,100,0.55,sibling_of
431,71,101,0.55,sibling_of
432,71,111,0.55,sibling_of
433,72,73,0.55,sibling_of
434,72,116,0.85,is_a
435,72,117,0.55,sibling_of
436,73,116,0.85,is_a
437,73,117,0.55,sibling_of
438,74,76,0.55,sibling_of
439,74,77,0.55,sibling_of
440,74,83,0.55,sibling_of
441,74,91,0.85,is_a
442,74,105,0.55,sibling_of
443,74,108,0.55,sibling_of
444,74,115,0.55,sibling_of
445,75,42,0.85,is_a
446,75,87,0.55,sibling_of
447,75,90,0.55,sibling_of
448,75,102,0.55,sibling_of
449,75,113,0.55,sibling_of
450,76,77,0.55,sibling_of
451,76,83,0.55,sibling_of
452,76,91,0.85,is_a
453,76,105,0.55,sibling_of
454,76,108,0.55,sibling_of
455,76,115,0.55,sibling_of
456,77,83,0.55,sibling_of
457,77,91,0.85,is_a
458,77,105,0.55,sibling_of
459,77,108,0.55,sibling_of
460,77,115,0.55,sibling_of
461,78,70,0.85,is_a
462,79,1,0.85,is_a
463,79,80,-0.7,opposite_of
464,79,80,0.55,sibling_of
465,79,92,0.55,sibling_of
466,79,94,0.55,sibling_of
467,79,100,0.55,sibling_of
468,79,101,0.55,sibling_of
469,79,111,0.55,sibling_of
470,80,1,0.85,is_a
471,80,92,0.55,sibling_of
472,80,94,0.55,sibling_of
473,80,100,0.55,sibling_of
474,80,101,0.55,sibling_of
475,80,111,0.55,sibling_of
476,81,16,0.85,is_a
477,82,84,0.55,sibling_of
478,82,93,0.85,is_a
479,82,97,0.55,sibling_of
480,82,98,0.55,sibling_of
481,82,107,0.55,sibling_of
482,83,91,0.85,is_a
483,83,105,0.55,sibling_of
484,83,108,0.55,sibling_of
485,83,115,0.55,sibling_of
486,84,93,0.85,is_a
487,84,97,0.55,sibling_of
488,84,98,0.55,sibling_of
489,84,107,0.55,sibling_of
490,85,89,0.85,is_a
491,85,96,0.55,sibling_of
492,85,116,0.55,sibling_of
493,86,109,0.55,sibling_of
494,86,110,0.85,is_a
495,87,42,0.85,is_a
496,87,90,0.55,sibling_of
497,87,102,0.55,sibling_of
498,87,113,0.55,sibling_of
499,88,92,0.85,is_a
500,89,64,0.85,is_a
501,90,42,0.85,is_a
502,90,102,0.55,sibling_of
503,90,113,0.55,sibling_of
504,91,99,0.85,is_a
505,92,1,0.85,is_a
506,92,94,0.55,sibling_of
507,92,100,0.33,shares_domain_tag
508,92,100,0.55,sibling_of
509,92,101,0.55,sibling_of
510,92,111,0.55,sibling_of
511,93,17,0.85,is_a
512,94,1,0.85,is_a
513,94,100,0.55,sibling_of
514,94,101,0.55,sibling_of
515,94,111,0.55,sibling_of
516,95,86,0.85,is_a
517,96,89,0.85,is_a
518,96,116,0.55,sibling_of
519,97,93,0.85,is_a
520,97,98,0.55,sibling_of
521,97,107,0.55,sibling_of
522,98,93,0.85,is_a
523,98,107,0.55,sibling_of
524,99,110,0.55,sibling_of
525,99,112,0.85,is_a
526,100,1,0.85,is_a
527,100,101,0.55,sibling_of
528,100,111,0.55,sibling_of
529,101,1,0.85,is_a
530,101,111,0.55,sibling_of
531,102,42,0.85,is_a
532,102,113,0.55,sibling_of
533,103,100,0.85,is_a
534,103,104,-0.7,opposite_of
535,103,104,0.55,sibling_of
536,104,100,0.85,is_a
537,105,91,0.85,is_a
538,105,108,0.55,sibling_of
539,105,115,0.55,sibling_of
540,106,109,0.85,is_a
541,107,93,0.85,is_a
542,108,91,0.85,is_a
543,108,115,0.55,sibling_of
544,109,110,0.85,is_a
545,110,112,0.85,is_a
546,111,1,0.85,is_a
547,112,2,0.85,is_a
548,113,42,0.85,is_a
549,114,37,0.85,is_a
550,115,91,0.85,is_a
551,116,89,0.85,is_a
552,117,116,0.85,is_a
