word_id,category_name,role
25,verb,pos
25,common,register
25,human_actions,domain
25,actions,tag
25,harm,tag
26,adjective,pos
26,formal,register
26,social,domain
26,social,tag
26,trust,tag
27,verb,pos
27,technical,register
27,security,domain
27,security,tag
27,data,tag
28,noun,pos
28,formal,register
28,political,domain
28,governance,tag
28,civic,tag
29,size,tag
29,magnitude_high,tag
29,physical,tag
29,scale,tag
30,verb,pos
30,common,register
30,human_actions,domain
30,actions,tag
30,harm,tag
31,verb,pos
31,formal,register
31,security,domain
31,security,tag
31,analysis,tag
32,verb,pos
32,technical,register
32,security,domain
32,security,tag
32,data,tag
33,verb,pos
33,technical,register
33,hacking,domain
33,vulnerability,tag
33,attack,tag
34,adjective,pos
34,speed,legacy_primary
34,rate_high,legacy_secondary
34,motion,tag
34,velocity,tag
34,temporal,tag
35,noun,pos
35,technical,register
35,security,domain
35,network,tag
35,protection,tag
36,cognition,legacy_primary
36,ability_low,legacy_secondary
36,mind,tag
36,reasoning,tag
36,mental,tag
37,verb,pos
37,common,register
37,scientific,domain
37,cognition,tag
37,memory,tag
38,noun,pos
38,usual,register
38,unsafe_flowers,domain
38,poison,tag
38,toxic,tag
39,noun,pos
39,informal,register
39,social,domain
39,relationship,tag
39,trust,tag
40,adjective,pos
40,emotion,legacy_primary
40,negative,legacy_secondary
40,feeling,tag
40,mood,tag
41,noun,pos
41,informal,register
41,social,domain
41,communication,tag
41,reputation,tag
42,emotion,tag
42,positive,tag
42,affect,tag
42,feeling,tag
42,mood,tag
43,noun,pos
43,usual,register
43,unsafe_flowers,domain
43,poison,tag
43,lethal,tag
44,verb,pos
44,formal,register
44,social,domain
44,social,tag
44,conflict,tag
45,temperature,legacy_primary
45,thermal_high,legacy_secondary
45,heat,tag
45,climate,tag
45,physical,tag
46,temperature,tag
46,thermal_high,tag
46,climate,tag
46,heat,tag
47,noun,pos
47,scientific,register
47,scientific,domain
47,research,tag
47,method,tag
48,cognition,tag
48,ability_low,tag
48,mind,tag
48,mental,tag
49,verb,pos
49,common,register
49,social,domain
49,social,tag
49,harm,tag
50,cognition,tag
50,ability_high,tag
50,mind,tag
50,reasoning,tag
50,mental,tag
51,verb,pos
51,formal,register
51,security,domain
51,security,tag
51,threat,tag
52,emotion,legacy_primary
52,positive,legacy_secondary
52,affect,tag
52,feeling,tag
52,mood,tag
53,verb,pos
53,common,register
53,scientific,domain
53,cognition,tag
53,growth,tag
54,cognition,tag
54,ability_high,tag
54,reasoning,tag
54,mental,tag
55,temperature,tag
55,thermal_low,tag
55,heat,tag
55,physical,tag
56,noun,pos
56,technical,register
56,hacking,domain
56,cyber,tag
56,infection,tag
57,adjective,pos
57,size,legacy_primary
57,magnitude_low,legacy_secondary
57,dimension,tag
57,scale,tag
58,noun,pos
58,scientific,register
58,scientific,domain
58,chemistry,tag
58,structure,tag
59,verb,pos
59,formal,register
59,security,domain
59,security,tag
59,operations,tag
60,size,legacy_primary
60,magnitude_low,legacy_secondary
60,dimension,tag
60,physical,tag
61,affect,tag
61,mood,tag
62,noun,pos
62,usual,register
62,unsafe_flowers,domain
62,poison,tag
62,toxic,tag
63,verb,pos
63,common,register
63,human_actions,domain
63,actions,tag
63,planning,tag
64,verb,pos
64,common,register
64,social,domain
64,social,tag
64,emotion,tag
65,adjective,pos
65,common,register
65,security,domain
65,security,tag
65,privacy,tag
66,noun,pos
66,formal,register
66,political,domain
66,influence,tag
66,media,tag
67,verb,pos
67,usual,register
67,human_actions,domain
67,safety,tag
67,defense,tag
68,adjective,pos
68,common,register
68,social,domain
68,social,tag
68,access,tag
69,noun,pos
69,scientific,register
69,wild_animals,domain
69,prey,tag
69,harmless,tag
70,verb,pos
70,common,register
70,human_actions,domain
70,actions,tag
70,maintenance,tag
71,adjective,pos
71,formal,register
71,security,domain
71,security,tag
71,quality,tag
72,verb,pos
72,common,register
72,social,domain
72,social,tag
72,behavior,tag
73,noun,pos
73,usual,register
73,safe_flowers,domain
73,garden,tag
73,ornamental,tag
74,verb,pos
74,usual,register
74,human_actions,domain
74,movement,tag
74,exercise,tag
75,emotion,legacy_primary
75,negative,legacy_secondary
75,affect,tag
75,feeling,tag
75,mood,tag
76,adjective,pos
76,technical,register
76,security,domain
76,security,tag
76,reliability,tag
77,speed,tag
77,rate_low,tag
77,motion,tag
77,velocity,tag
77,temporal,tag
78,size,tag
78,magnitude_low,tag
78,dimension,tag
78,scale,tag
78,physical,tag
79,verb,pos
79,usual,register
79,human_actions,domain
79,crime,tag
79,theft,tag
80,adjective,pos
80,formal,register
80,political,domain
80,dissent,tag
80,radical,tag
81,emotion,legacy_primary
81,positive,legacy_secondary
81,feeling,tag
81,affect,tag
82,noun,pos
82,scientific,register
82,scientific,domain
82,poison,tag
82,hazard,tag
83,adjective,pos
83,formal,register
83,social,domain
83,social,tag
83,trust,tag
84,noun,pos
84,usual,register
84,safe_flowers,domain
84,garden,tag
84,spring,tag
85,noun,pos
85,usual,register
85,electric machine,domain
85,machine,tag
85,electric,tag
86,size,tag
86,magnitude_high,tag
86,dimension,tag
86,scale,tag
86,physical,tag
87,adjective,pos
87,technical,register
87,security,domain
87,security,tag
87,weakness,tag
88,verb,pos
88,informal,register
88,human_actions,domain
88,communication,tag
88,secrecy,tag
89,cognition,legacy_primary
89,ability_high,legacy_secondary
89,mind,tag
89,reasoning,tag
89,mental,tag
90,noun,pos
90,scientific,register
90,wild_animals,domain
90,predator,tag
90,wilderness,tag
